Date,High,Low,Volume,Adj Close
2010-01-04,7.660714149475098,7.585000038146973,493729600.0,6.583585739135742
2010-01-05,7.699643135070801,7.6160712242126465,601904800.0,6.594967842102051
2010-01-06,7.68678617477417,7.526785850524902,552160000.0,6.490065574645996
2010-01-07,7.5714287757873535,7.466071128845215,477131200.0,6.478067398071289
2010-01-08,7.5714287757873535,7.466429233551025,447610800.0,6.5211358070373535
2010-01-11,7.607142925262451,7.444643020629883,462229600.0,6.46360969543457
2010-01-12,7.491786003112793,7.372142791748047,594459600.0,6.390086650848389
2010-01-13,7.533214092254639,7.289286136627197,605892000.0,6.480220794677734
2010-01-14,7.51642894744873,7.465000152587891,432894000.0,6.442690372467041
2010-01-15,7.557143211364746,7.352499961853027,594067600.0,6.335019588470459
2010-01-19,7.685357093811035,7.401429176330566,730007600.0,6.615270614624023
2010-01-20,7.698214054107666,7.482142925262451,612152800.0,6.51344633102417
2010-01-21,7.618214130401611,7.400356769561768,608154400.0,6.400853157043457
2010-01-22,7.410714149475098,7.041429042816162,881767600.0,6.083380222320557
2010-01-25,7.310713768005371,7.1496429443359375,1065699600.0,6.2470383644104
2010-01-26,7.632500171661377,7.235000133514404,1867110000.0,6.335329055786133
2010-01-27,7.520713806152344,7.126070976257324,1722568400.0,6.395008563995361
2010-01-28,7.339285850524902,7.096428871154785,1173502400.0,6.13075590133667
2010-01-29,7.221428871154785,6.794642925262451,1245952400.0,5.908337116241455
2010-02-01,7.0,6.83214282989502,749876400.0,5.990475654602051
2010-02-02,7.0114288330078125,6.906428813934326,698342400.0,6.025238513946533
2010-02-03,7.150000095367432,6.943571090698242,615328000.0,6.128908634185791
2010-02-04,7.084642887115479,6.841785907745361,757652000.0,5.908030986785889
2010-02-05,7.0,6.816071033477783,850306800.0,6.012932777404785
2010-02-08,7.067142963409424,6.928571224212647,478270800.0,5.971709251403809
2010-02-09,7.053571224212647,6.955357074737549,632886800.0,6.035387992858887
2010-02-10,7.021429061889648,6.937857151031494,370361600.0,6.002470970153809
2010-02-11,7.1339287757873535,6.930714130401611,550345600.0,6.1116814613342285
2010-02-12,7.201428890228272,6.982142925262451,655468800.0,6.164286613464356
2010-02-16,7.2746429443359375,7.197143077850342,543737600.0,6.257191181182861
2010-02-17,7.296785831451416,7.1735711097717285,436396800.0,6.231041431427002
2010-02-18,7.28178596496582,7.175714015960693,422825200.0,6.242731094360352
2010-02-19,7.257143020629883,7.182499885559082,415469600.0,6.20396900177002
2010-02-22,7.232142925262451,7.11392879486084,390563600.0,6.165515422821045
2010-02-23,7.190357208251953,6.989643096923828,575094800.0,6.062153339385986
2010-02-24,7.194285869598389,7.065713882446289,460566400.0,6.172900199890137
2010-02-25,7.244999885559082,7.03178596496582,665126000.0,6.214123725891113
2010-02-26,7.327499866485596,7.214285850524902,507460800.0,6.294720649719238
2010-03-01,7.482142925262451,7.337500095367432,550093600.0,6.429156303405762
2010-03-02,7.529643058776855,7.419285774230957,566546400.0,6.4248480796813965
2010-03-03,7.495357036590576,7.42642879486084,372052800.0,6.439613342285156
2010-03-04,7.532856941223144,7.451070785522461,366041200.0,6.4820661544799805
2010-03-05,7.846428871154785,7.6653571128845215,899620400.0,6.735553741455078
2010-03-08,7.86035680770874,7.794642925262451,429889600.0,6.739554405212402
2010-03-09,8.035714149475098,7.78178596496582,920259200.0,6.86076021194458
2010-03-10,8.052857398986816,7.971428871154785,596218000.0,6.916746616363525
2010-03-11,8.053570747375488,7.975714206695557,405700400.0,6.937050819396973
2010-03-12,8.133213996887207,8.0625,416323600.0,6.970890998840332
2010-03-15,8.053570747375488,7.8660712242126465,493502800.0,6.885985374450684
2010-03-16,8.03499984741211,7.946785926818848,446908000.0,6.904750347137451
2010-03-17,8.087499618530273,7.973928928375244,450956800.0,6.894599914550781
2010-03-18,8.035714149475098,7.950356960296631,342109600.0,6.910902500152588
2010-03-19,8.044285774230957,7.901071071624756,559445600.0,6.837072849273682
2010-03-22,8.071429252624512,7.862500190734863,456419600.0,6.9139790534973145
2010-03-23,8.170714378356934,8.003570556640625,602431200.0,7.025033473968506
2010-03-24,8.221428871154785,8.125356674194336,597780400.0,7.0561041831970215
2010-03-25,8.248929023742676,8.08035659790039,542284400.0,6.9724297523498535
